Rank,Neuron_Index,Weight,Direction,Task,Space
1,976,0.030326736996889914,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
2,1488,-0.013864848152628834,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
3,184,-0.011727756380869607,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
4,1514,-0.008072475320178301,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
5,1304,0.006928088636742008,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
6,1101,0.00624646674752777,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
7,1411,-0.005921290051524703,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
8,593,0.0057394321499764445,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
9,816,-0.005712758526409271,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
10,1645,-0.005677738143571009,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
